ID,TAXANR,PRNAVN,PRNAVN1,GNAVN,NAVN,AUTNR,AUTHOR,AUTSTAT,TAXATYPE,SYNONYMNR,GNR,GYLDIG,PREVTAXA
7421,7354,Pteridium aquilinum ssp. aquilinum,Pteridium aquilinum ssp. aquilinum,Pteridium aquilinum ssp. aquilinum,aquilinum,0,,,S,0,7354,TRUE,51
8425,8425,Pteridium aquilinum var. aquilinum,Pteridium aquilinum var. aquilinum,Pteridium aquilinum ssp. aquilinum,aquilinum,0,,,V,7354,7354,FALSE,51
9530,9530,Pteridium aquilinum ssp. capense,Pteridium aquilinum ssp. capense,Pteridium aquilinum ssp. aquilinum,capense,0,,,S,7354,7354,FALSE,51
7422,7355,Pteridium aquilinum ssp. latiusculum,Pteridium aquilinum ssp. latiusculum,Pteridium aquilinum ssp. latiusculum,latiusculum,6089,(Desv.) C.N.Page,,S,0,7355,TRUE,51
8426,8426,Pteridium aquilinum var. latiusculum,Pteridium aquilinum var. latiusculum,Pteridium aquilinum ssp. latiusculum,latiusculum,6088,(Desv.) Underw. ex A.Heller,,V,7355,7355,FALSE,51
3038,3038,Pteris,Pteris,Pteris,Pteris,1,L.,,G,0,3038,TRUE,8903
16457,16457,Pterospartum,Pterospartum,Pterospartum,Pterospartum,5462,(Spach) Willk.,,G,0,16457,TRUE,973
2516,2516,Puccinellia,Puccinellia,Puccinellia,Puccinellia,278,Parl.,,G,0,2516,TRUE,2358
11908,11894,Puccinellia agrostidea,Puccinellia agrostidea,Puccinellia agrostidea,agrostidea,611,Th.Sør.,,A,0,11894,TRUE,2516
11909,11895,Phippsia agrostidea,Phippsia agrostidea,Puccinellia agrostidea,agrostidea,3835,(T.V.Sørensen) Á.Löve & D.Löve,,A,11894,11894,FALSE,2522
11917,11903,Puccinellia alaskana,Puccinellia alaskana,Puccinellia alaskana,alaskana,1395,Scribn. & Merr.,,A,0,11903,TRUE,2516
11923,11909,Puccinellia langeana ssp. alaskana,Puccinellia langeana ssp. alaskana,Puccinellia alaskana,alaskana,3844,(Scribn. & Merr.) T.V.Sørensen,,S,11903,11903,FALSE,11906
11924,11910,Puccinellia tenella ssp. alaskana,Puccinellia tenella ssp. alaskana,Puccinellia alaskana,alaskana,3811,(Scribn. & Merr.) Tzvelev,,S,11903,11903,FALSE,6708
11925,11911,Phippsia langeana ssp. alaskana,Phippsia langeana ssp. alaskana,Puccinellia alaskana,alaskana,3845,(Scribn. & Merr.) Á.Löve & D.Löve,,S,11903,11903,FALSE,11907
11901,11887,Puccinellia andersonii,Puccinellia andersonii,Puccinellia andersonii,andersonii,1426,Swallen,,A,0,11887,TRUE,2516
11902,11888,Phippsia andersonii,Phippsia andersonii,Puccinellia andersonii,andersonii,3824,(Swallen) Á.Löve & D.Löve,,A,11887,11887,FALSE,2522
4029,4029,Puccinellia angustata,Puccinellia angustata,Puccinellia angustata,angustata,5741,(R.Br.) E.L.Rand & Redfield,,A,0,4029,TRUE,2516
6685,6685,Atropis angustata,Atropis angustata,Puccinellia angustata,angustata,843,(R.Br.) Griseb.,,A,4029,4029,FALSE,5078
6686,6686,Glyceria angustata,Glyceria angustata,Puccinellia angustata,angustata,842,(R.Br.) Fr.,,A,4029,4029,FALSE,2531
7657,7564,Puccinellia contracta,Puccinellia contracta,Puccinellia angustata,contracta,2192,(Lange) T.V.Sørensen,,A,4029,4029,FALSE,2516
7658,7565,Phippsia angustata,Phippsia angustata,Puccinellia angustata,angustata,454,(R.Br.) Á.Löve & D.Löve,,A,4029,4029,FALSE,2522
11910,11896,Poa angustata,Poa angustata,Puccinellia angustata,angustata,8,R.Br.,,A,4029,4029,FALSE,2497
